iter	RMSE
270	4.657611073
271	4.65272014
272	4.647635375
273	4.643913627
274	4.639547636
275	4.638838412
276	4.634193077
277	4.631749528
278	4.627797625
279	4.625360523
280	4.624440351
281	4.622561683
282	4.619173054
283	4.616639911
284	4.611756048
285	4.610587602
286	4.609869219
287	4.607167631
288	4.60289521
289	4.59920956
290	4.593236707
291	4.591836506
292	4.591225344
293	4.586029158
294	4.584590011
295	4.581355207
296	4.577769097
297	4.575961503
298	4.571374502
299	4.569492922
300	4.568366975
301	4.566473721
302	4.56432006
303	4.559622023
304	4.557605553
305	4.552898294
306	4.551570708
307	4.546282965
308	4.541953345
309	4.539424163
310	4.534459882
311	4.530599714
312	4.525810755
313	4.521773387
314	4.519921285
315	4.517691179
316	4.514013244
317	4.513299661
318	4.511685378
319	4.509444036
320	4.508412366
321	4.505062603
322	4.50220699
323	4.500330578
324	4.498055516
325	4.494709254
326	4.492475489
327	4.488732074
328	4.485336605
329	4.480984648
330	4.47593758
331	4.471751747
332	4.467012433
333	4.465413449
334	4.463041589
335	4.46171979
336	4.460196099
337	4.459457579
338	4.454904482
339	4.453349316
340	4.449820381
341	4.446873292
342	4.443848301
343	4.440302027
344	4.43799049
345	4.433330451
346	4.430570783
347	4.428420694
348	4.423666778
349	4.420699425
350	4.420082632
351	4.415950965
352	4.412624034
353	4.40994549
354	4.406094197
355	4.403143542
356	4.40028072
357	4.399707473
358	4.395763031
359	4.391960053
360	4.386862292
361	4.381873718
362	4.380019517
363	4.377773639
364	4.372584757
365	4.370797687
366	4.366620363
367	4.363620998
368	4.359050637
369	4.355999315
370	4.3515698
371	4.349725163
372	4.347192233
373	4.345297696
374	4.341989988
375	4.339293196
376	4.337638391
377	4.333817744
378	4.330062755
379	4.328901764
380	4.328555496
381	4.326042535
382	4.321648501
383	4.318953891
384	4.317361503
385	4.316609731
386	4.313565312
387	4.309343825
388	4.306923381
389	4.30584504
390	4.30265554
391	4.299557223
392	4.295296495
393	4.293322787
394	4.289278121
395	4.288318361
396	4.285081586
397	4.282909177
398	4.281839167
399	4.277823606
400	4.273354365
401	4.2707616
402	4.269311878
403	4.266065516
404	4.265415282
405	4.262440545
406	4.25843718
407	4.256573475
408	4.252505865
409	4.248731578
410	4.245482374
411	4.243628117
412	4.239893996
413	4.237151908
414	4.236647934
415	4.234312209
416	4.230729676
417	4.228008014
418	4.224879429
419	4.221814136
420	4.220258538
421	4.219390642
422	4.21695494
423	4.214292623
424	4.21216545
425	4.210724347
426	4.20917869
427	4.206967801
428	4.204396061
429	4.203739146
430	4.202665139
431	4.199094561
432	4.195286614
433	4.191747338
434	4.187579321
435	4.187197685
436	4.185025079
437	4.180824054
438	4.177175485
439	4.176693537
440	4.17309351
441	4.169524896
442	4.168735241
443	4.165682721
444	4.161057024
445	4.157557971
446	4.155419463
447	4.154557932
448	4.153227003
449	4.151351132
450	4.147848706
451	4.145033165
452	4.140284262
453	4.137411752
454	4.134121472
455	4.131587606
456	4.128999996
457	4.127682266
458	4.126844945
459	4.123530307
460	4.120712835
461	4.117419462
462	4.113295522
463	4.111192022
464	4.109779591
465	4.107544868
466	4.104153517
467	4.102441052
468	4.101571915
469	4.101097725
470	4.099010399
471	4.095211159
472	4.093733907
473	4.089361974
474	4.084541606
475	4.082737606
476	4.08113389
477	4.080435807
478	4.078924726
479	4.077330073
480	4.074800191
481	4.073288686
482	4.070416982
483	4.068814554
484	4.067325372
485	4.065538733
486	4.064192685
487	4.059009996
488	4.057858721
489	4.052556354
490	4.049754588
491	4.047879139
492	4.044843293
493	4.042603474
494	4.04093289
495	4.038868428
496	4.036589409
497	4.03434664
498	4.031198785
499	4.027370168
500	4.025546459
501	4.021806706
502	4.019367948
503	4.015588264
504	4.014716057
505	4.014226755
506	4.011080823
507	4.009437392
508	4.008819936
509	4.00527013
510	4.003500406
511	4.002781221
512	4.002543334
513	3.999863777
514	3.997836343
515	3.995770734
516	3.993423742
517	3.993273871
518	3.98879949
519	3.987118032
520	3.985619479
521	3.984560113
522	3.983960616
523	3.981473222
524	3.97930665
525	3.976505393
526	3.971702345
527	3.968718663
528	3.964947418
529	3.961784752
530	3.96091739
531	3.957191714
532	3.954225641
533	3.953759575
534	3.951993737
535	3.948640891
536	3.945431183
537	3.944733148
538	3.940980291
539	3.936655766
540	3.934385536
541	3.933344519
542	3.930803885
543	3.927811862
544	3.926687012
545	3.925356817
546	3.921038529
547	3.917583491
548	3.91410743
549	3.914020604
550	3.911150487
551	3.909114166
552	3.908978081
553	3.90570613
554	3.903318665
555	3.901677739
556	3.898439291
557	3.895542106
558	3.895315634
559	3.892522559
560	3.889339011
561	3.885953928
562	3.88438184
563	3.882013586
564	3.879107231
565	3.875719309
566	3.874557855
567	3.871889351
568	3.870006761
569	3.866900812
570	3.863961093
571	3.861686004
572	3.860636093
573	3.859419549
574	3.85742325
575	3.853938438
576	3.853050808
577	3.852934892
578	3.852330855
579	3.850997234
580	3.849725791
581	3.848192684
582	3.84501245
583	3.841033478
584	3.840262779
585	3.839355116
586	3.838850653
587	3.837626066
588	3.837044795
589	3.835044306
590	3.831399989
591	3.826797281
592	3.82340835
593	3.821657507
594	3.818735908
595	3.816243009
596	3.814051786
597	3.811452962
598	3.809653356
599	3.80708044
600	3.804216857
601	3.803210886
602	3.803117913
603	3.802455056
604	3.800691401
605	3.799670615
606	3.796453473
607	3.793362114
608	3.791922833
609	3.790208928
610	3.787571167
611	3.784709807
612	3.784342992
613	3.78196255
614	3.779234364
615	3.777508275
616	3.777121407
617	3.77485156
618	3.77293732
619	3.769425226
620	3.768817117
621	3.766890765
622	3.763510314
623	3.759857061
624	3.757954772
625	3.75475468
626	3.754643179
627	3.754295086
628	3.752196143
629	3.75027294
630	3.747183605
631	3.743922661
632	3.741715637
633	3.741470294
634	3.740157668
635	3.739625281
636	3.737711024
637	3.735345785
638	3.732106828
639	3.729459507
640	3.729403158
641	3.728134499
642	3.726292117
643	3.724217395
644	3.724129497
645	3.724034139
646	3.720612025
647	3.720512216
648	3.719089983
649	3.717601107
650	3.71508169
651	3.715025835
652	3.712829068
653	3.709849323
654	3.707567552
655	3.705509771
656	3.703625717
657	3.699865074
658	3.698700312
659	3.697087198
660	3.694938384
661	3.691549627
662	3.688089469
663	3.685173557
664	3.684669772
665	3.684586974
666	3.682734872
667	3.680869058
668	3.67847929
669	3.677830538
670	3.676240601
671	3.673460091
672	3.67154349
673	3.670012669
674	3.669966178
675	3.668948001
676	3.665338332
677	3.665286475
678	3.66207506
679	3.659571227
680	3.656249515
681	3.654875202
682	3.653450049
683	3.652719459
684	3.649653993
685	3.64850947
686	3.647220385
687	3.644613999
688	3.643463747
689	3.642421353
690	3.642094373
691	3.641110187
692	3.638952513
693	3.637256801
694	3.636306373
695	3.634897144
696	3.634458561
697	3.63411062
698	3.633359168
699	3.631763994
700	3.631021167
701	3.629595736
702	3.627245775
703	3.626719241
704	3.624980326
705	3.623040156
706	3.622830973
707	3.621490468
708	3.619822843
709	3.616607547
710	3.616535232
711	3.616235883
712	3.614835183
713	3.612769962
714	3.609494143
715	3.606142715
716	3.603705844
717	3.602329228
718	3.6007438
719	3.598207856
720	3.594828961
721	3.591785868
722	3.591485852
723	3.589380851
724	3.588361886
725	3.586118795
726	3.583807138
727	3.582096388
728	3.580957873
729	3.580435687
730	3.579844054
731	3.57713275
732	3.575871411
733	3.574843099
734	3.573182955
735	3.569791866
736	3.567836081
737	3.565813979
738	3.563886351
739	3.561754777
740	3.560526961
741	3.559769381
742	3.558965664
743	3.558714134
744	3.557988537
745	3.556311717
746	3.554911907
747	3.552462063
748	3.550761939
749	3.54944454
750	3.547964711
751	3.547198816
752	3.544857375
753	3.543664344
754	3.543021952
755	3.541688998
756	3.540260107
757	3.538381155
758	3.537832282
759	3.535605182
760	3.532921309
761	3.532675601
762	3.529878246
763	3.528732677
764	3.527039327
765	3.525499609
766	3.523597576
767	3.521728595
768	3.520722607
769	3.519315668
770	3.518229947
771	3.51685291
772	3.515378636
773	3.513690405
774	3.511758852
775	3.510192921
776	3.509195692
777	3.508210562
778	3.506675443
779	3.505406128
780	3.503313172
781	3.502862177
782	3.500650985
783	3.49895232
784	3.496277512
785	3.49544928
786	3.494342006
787	3.491741894
788	3.490828262
789	3.489555765
790	3.488847532
791	3.486281629
792	3.483673466
793	3.482796979
794	3.481351556
795	3.480074986
796	3.47864684
797	3.477784142
798	3.476600308
799	3.474548366
800	3.473098854
801	3.47070854
802	3.470007619
803	3.468044571
804	3.466915674
805	3.466030471
806	3.463933252
807	3.460490957
808	3.458500298
809	3.455060682
810	3.452989289
811	3.451400525
812	3.451012976
813	3.450571434
814	3.448810445
815	3.446907644
816	3.445359456
817	3.444704144
818	3.44354507
819	3.441804073
820	3.440508572
821	3.439299461
822	3.437701141
823	3.437438537
824	3.435011714
825	3.433877985
826	3.431977415
827	3.43130836
828	3.430777609
829	3.430135344
830	3.42871848
831	3.428362179
832	3.426472104
833	3.424088594
834	3.42278001
835	3.421199641
836	3.420344595
837	3.417644645
838	3.416024573
839	3.415518476
840	3.412992594
841	3.411989572
842	3.410846194
843	3.408438498
844	3.40701233
845	3.404768922
846	3.404509093
847	3.403164789
848	3.401887619
849	3.40121924
850	3.399913072
851	3.397910925
852	3.397500072
853	3.396007913
854	3.394835692
855	3.391928266
856	3.39045348
857	3.388573294
858	3.387601462
859	3.387007037
860	3.385141409
861	3.382512319
862	3.38106956
863	3.378508373
864	3.377117239
865	3.375934839
866	3.375455531
867	3.374288879
868	3.37372512
869	3.371211785
870	3.369143821
871	3.367294404
872	3.365029915
873	3.363587187
874	3.362856512
875	3.360836166
876	3.360608558
877	3.358362905
878	3.357185389
879	3.356273743
880	3.353852317
881	3.353634218
882	3.352762991
883	3.350544913
884	3.349437456
885	3.348127796
886	3.346607271
887	3.344838761
888	3.342299912
889	3.340460918
890	3.339598078
891	3.338396307
892	3.337171026
893	3.335252785
894	3.333108838
895	3.330748561
896	3.32772845
897	3.324891571
898	3.323909026
899	3.321706845
900	3.320916953
901	3.320658038
902	3.320544713
903	3.318230132
904	3.316962989
905	3.315354683
906	3.31432446
907	3.311549285
908	3.310426168
909	3.30933862
910	3.308444116
911	3.307997419
912	3.307702378
913	3.30617157
914	3.304934125
915	3.303838533
916	3.302565043
917	3.301277785
918	3.299202736
919	3.296962686
920	3.296816532
921	3.295499105
922	3.294155169
923	3.292977067
924	3.290093432
925	3.28972151
926	3.288458287
927	3.286630773
928	3.285864202
929	3.285572518
930	3.283455838
931	3.282928438
932	3.282110972
933	3.281628374
934	3.279933265
935	3.279059043
936	3.275995483
937	3.274504386
938	3.272631431
939	3.270405794
940	3.269193122
941	3.269166475
942	3.268954126
943	3.268336919
944	3.267565672
945	3.267290463
946	3.265140548
947	3.262962794
948	3.261066032
949	3.260416198
950	3.259612225
951	3.258449854
952	3.257825114
953	3.25544268
954	3.253490851
955	3.251746509
956	3.250031757
957	3.24920784
958	3.248528972
959	3.248391905
960	3.246913798
961	3.246030047
962	3.243568052
963	3.241794276
964	3.240111091
965	3.239510726
966	3.237843309
967	3.236671405
968	3.23601963
969	3.23453801
970	3.232535334
971	3.231619616
972	3.230858025
973	3.230211422
974	3.229123316
975	3.2289069
976	3.227332527
977	3.225121543
978	3.22426851
979	3.222509048
980	3.222370428
981	3.222046029
982	3.221449289
983	3.219998892
984	3.219627634
985	3.21772934
986	3.215644747
987	3.213634153
988	3.212159806
989	3.209856309
990	3.209409211
991	3.208718766
992	3.207414307
993	3.206029967
994	3.204170839
995	3.202201143
996	3.202037875
997	3.201947305
998	3.201353727
999	3.200304498
